t_ulog,raw_lift,raw_roll,raw_pitch,raw_yaw,raw_tilt,raw_wheel0,raw_wheel1,sem_lift,sem_roll,sem_pitch,sem_yaw,sem_tilt,sem_wheel0,sem_wheel1,pub0,pub1,pub2,pub3,mode,gate,clip_frac,obs_norm
3.290135489999999550e+02,-4.575359821319580078e-01,8.254311233758926392e-02,6.453784555196762085e-02,4.062597751617431641e-01,-1.309137821197509766e+00,5.406113266944885254e-01,1.024850130081176758e+00,2.712320089340209961e-01,8.254311233758926392e-02,6.453784555196762085e-02,4.062597751617431641e-01,-1.000000000000000000e+00,5.406113266944885254e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,7.561436672967864099e-03,5.512700821915754723e-01
3.290335489999999936e+02,-4.543651342391967773e-01,8.234751969575881958e-02,5.844740197062492371e-02,3.797473013401031494e-01,-1.303789377212524414e+00,5.370087027549743652e-01,1.003365397453308105e+00,2.728174328804016113e-01,8.234751969575881958e-02,5.844740197062492371e-02,3.797473013401031494e-01,-1.000000000000000000e+00,5.370087027549743652e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,7.561436672967864099e-03,5.509082218373084761e-01
3.290535489999999754e+02,-4.106705486774444580e-01,8.197942376136779785e-02,4.561160132288932800e-02,3.788547813892364502e-01,-1.300935387611389160e+00,5.419918894767761230e-01,1.061342358589172363e+00,2.946647405624389648e-01,8.197942376136779785e-02,4.561160132288932800e-02,3.788547813892364502e-01,-1.000000000000000000e+00,5.419918894767761230e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,7.561436672967864099e-03,5.497447635690083656e-01
3.290735489999999572e+02,-3.751638233661651611e-01,8.380004018545150757e-02,3.882995620369911194e-02,3.412486016750335693e-01,-1.291107773780822754e+00,5.441678762435913086e-01,1.052547931671142578e+00,3.124181032180786133e-01,8.380004018545150757e-02,3.882995620369911194e-02,3.412486016750335693e-01,-1.000000000000000000e+00,5.441678762435913086e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,7.561436672967864099e-03,5.513326153413840025e-01
3.290935489999999959e+02,-4.128176569938659668e-01,8.255901187658309937e-02,5.856409296393394470e-02,3.949176669120788574e-01,-1.316383481025695801e+00,5.503339171409606934e-01,1.059256672859191895e+00,2.935911715030670166e-01,8.255901187658309937e-02,5.856409296393394470e-02,3.949176669120788574e-01,-1.000000000000000000e+00,5.503339171409606934e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,7.561436672967864099e-03,5.522091553187706836e-01
3.291135489999999777e+02,-3.885557055473327637e-01,8.677289634943008423e-02,9.014183282852172852e-02,3.686205744743347168e-01,-1.292732119560241699e+00,5.999345779418945312e-01,1.006488084793090820e+00,3.057221472263336182e-01,8.677289634943008423e-02,9.014183282852172852e-02,3.686205744743347168e-01,-1.000000000000000000e+00,5.999345779418945312e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,7.561436672967864099e-03,5.532686544881543211e-01
3.291335489999999595e+02,-3.583452403545379639e-01,8.987409621477127075e-02,5.939942225813865662e-02,3.715081810951232910e-01,-1.304661870002746582e+00,5.453795790672302246e-01,1.082166910171508789e+00,3.208273649215698242e-01,8.987409621477127075e-02,5.939942225813865662e-02,3.715081810951232910e-01,-1.000000000000000000e+00,5.453795790672302246e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,7.561436672967864099e-03,5.523149541805089102e-01
3.291535489999999982e+02,-3.163429498672485352e-01,8.850105851888656616e-02,5.547324940562248230e-02,3.861371576786041260e-01,-1.290779829025268555e+00,5.997127294540405273e-01,1.065857529640197754e+00,3.418285250663757324e-01,8.850105851888656616e-02,5.547324940562248230e-02,3.861371576786041260e-01,-1.000000000000000000e+00,5.997127294540405273e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,7.561436672967864099e-03,5.536880948414828474e-01
3.291735489999999800e+02,-3.006297051906585693e-01,9.095148742198944092e-02,7.726104557514190674e-02,4.261945188045501709e-01,-1.274834632873535156e+00,5.842267870903015137e-01,1.013210296630859375e+00,3.496851325035095215e-01,9.095148742198944092e-02,7.726104557514190674e-02,4.261945188045501709e-01,-1.000000000000000000e+00,5.842267870903015137e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,7.561436672967864099e-03,5.546764965379734624e-01
3.291935489999999618e+02,-2.031015157699584961e-01,7.792428135871887207e-02,4.825615137815475464e-02,3.849409818649291992e-01,-1.254396557807922363e+00,5.744614601135253906e-01,1.087010860443115234e+00,3.984492421150207520e-01,7.792428135871887207e-02,4.825615137815475464e-02,3.849409818649291992e-01,-1.000000000000000000e+00,5.744614601135253906e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,7.561436672967864099e-03,5.547776117215109659e-01
3.292135490000000004e+02,-2.533835470676422119e-01,8.048899471759796143e-02,5.451895296573638916e-02,4.146393239498138428e-01,-1.278339505195617676e+00,6.132952570915222168e-01,1.051339626312255859e+00,3.733082413673400879e-01,8.048899471759796143e-02,5.451895296573638916e-02,4.146393239498138428e-01,-1.000000000000000000e+00,6.132952570915222168e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,7.561436672967864099e-03,5.536509548774687373e-01
3.292335489999999822e+02,-2.981285154819488525e-01,8.598821610212326050e-02,9.681242704391479492e-02,4.135973155498504639e-01,-1.287335157394409180e+00,5.930094122886657715e-01,1.043590068817138672e+00,3.509357571601867676e-01,8.598821610212326050e-02,9.681242704391479492e-02,4.135973155498504639e-01,-1.000000000000000000e+00,5.930094122886657715e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,7.561436672967864099e-03,5.572416237774964198e-01
3.292535489999999641e+02,-3.012622296810150146e-01,7.901378720998764038e-02,7.894570380449295044e-02,3.674915432929992676e-01,-1.275436639785766602e+00,6.176133751869201660e-01,1.035280942916870117e+00,3.493688702583312988e-01,7.901378720998764038e-02,7.894570380449295044e-02,3.674915432929992676e-01,-1.000000000000000000e+00,6.176133751869201660e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,7.561436672967864099e-03,5.597520748260230716e-01
3.292735490000000027e+02,-2.832617163658142090e-01,8.206063508987426758e-02,6.681565195322036743e-02,4.046151638031005859e-01,-1.288259387016296387e+00,6.074956059455871582e-01,1.038079738616943359e+00,3.583691418170928955e-01,8.206063508987426758e-02,6.681565195322036743e-02,4.046151638031005859e-01,-1.000000000000000000e+00,6.074956059455871582e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,7.561436672967864099e-03,5.594527380170074560e-01
3.292935489999999845e+02,-2.184154242277145386e-01,7.303591072559356689e-02,3.890971094369888306e-02,4.437734186649322510e-01,-1.278116106986999512e+00,6.055326461791992188e-01,1.095495462417602539e+00,3.907922804355621338e-01,7.303591072559356689e-02,3.890971094369888306e-02,4.437734186649322510e-01,-1.000000000000000000e+00,6.055326461791992188e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,7.561436672967864099e-03,5.569727393384783509e-01
3.293135489999999663e+02,-1.912757009267807007e-01,7.001138478517532349e-02,6.039872020483016968e-02,3.839301764965057373e-01,-1.255660533905029297e+00,6.349181532859802246e-01,1.033245086669921875e+00,4.043621420860290527e-01,7.001138478517532349e-02,6.039872020483016968e-02,3.839301764965057373e-01,-1.000000000000000000e+00,6.349181532859802246e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,7.561436672967864099e-03,5.566684217448572003e-01
3.293335489999999481e+02,-1.986520141363143921e-01,7.737176865339279175e-02,6.909568607807159424e-02,4.431792497634887695e-01,-1.274225950241088867e+00,6.268095970153808594e-01,1.042232871055603027e+00,4.006739854812622070e-01,7.737176865339279175e-02,6.909568607807159424e-02,4.431792497634887695e-01,-1.000000000000000000e+00,6.268095970153808594e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,7.561436672967864099e-03,5.567638245263617502e-01
3.293535489999999868e+02,-1.414041519165039062e-01,6.744059920310974121e-02,4.492626339197158813e-02,4.114512205123901367e-01,-1.270339488983154297e+00,6.228570938110351562e-01,1.128878712654113770e+00,4.292979240417480469e-01,6.744059920310974121e-02,4.492626339197158813e-02,4.114512205123901367e-01,-1.000000000000000000e+00,6.228570938110351562e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,7.561436672967864099e-03,5.591401270490018449e-01
3.293735489999999686e+02,-2.174482941627502441e-01,7.659598439931869507e-02,5.525639653205871582e-02,3.970179855823516846e-01,-1.299065113067626953e+00,6.436131596565246582e-01,1.115505933761596680e+00,3.912758529186248779e-01,7.659598439931869507e-02,5.525639653205871582e-02,3.970179855823516846e-01,-1.000000000000000000e+00,6.436131596565246582e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,7.561436672967864099e-03,5.589334528716036754e-01
3.293935489999999504e+02,-1.106727197766304016e-01,7.098131626844406128e-02,4.908218234777450562e-02,3.911599218845367432e-01,-1.279578089714050293e+00,6.477947831153869629e-01,1.137791633605957031e+00,4.446636438369750977e-01,7.098131626844406128e-02,4.908218234777450562e-02,3.911599218845367432e-01,-1.000000000000000000e+00,6.477947831153869629e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,7.561436672967864099e-03,5.584105398584521263e-01
3.294135489999999891e+02,-1.995842456817626953e-01,5.571516230702400208e-02,4.959393292665481567e-02,4.014642834663391113e-01,-1.283323168754577637e+00,6.600611209869384766e-01,1.141036748886108398e+00,4.002078771591186523e-01,5.571516230702400208e-02,4.959393292665481567e-02,4.014642834663391113e-01,-1.000000000000000000e+00,6.600611209869384766e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,7.561436672967864099e-03,5.577590799744803762e-01
3.294335489999999709e+02,-1.576575785875320435e-01,6.577062606811523438e-02,4.132159054279327393e-02,4.400786161422729492e-01,-1.301105380058288574e+00,6.488232612609863281e-01,1.159683108329772949e+00,4.211712181568145752e-01,6.577062606811523438e-02,4.132159054279327393e-02,4.400786161422729492e-01,-1.000000000000000000e+00,6.488232612609863281e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,7.561436672967864099e-03,5.595898351294017470e-01
